id,playtime_forever
0,0.233222222
1,4.212611111
2,0.129777778
3,0.243722222
4,5.296833333
5,1.624055556
6,0.534611111
7,0.270111111
8,1.219833333
9,5.660944444
10,0.514166667
11,0.394555556
12,0
13,1.575444444
14,3.744833333
15,0.744833333
16,1.521055556
17,2.632944444
18,1.425833333
19,0.194444444
20,0.993444444
21,1.648888889
22,1.961888889
23,0.553722222
24,0.759333333
25,0.535833333
26,0.457555556
27,0.773611111
28,1.177333333
29,1.711666667
30,2.355333333
31,18.20994444
32,0.386388889
33,0.563611111
34,3.9425
35,0.524722222
36,3.136055556
37,7.5995
38,0.993111111
39,1.285833333
40,2.702944444
41,1.109111111
42,2.817166667
43,1.502055556
44,0.776722222
45,0
46,0.661055556
47,0.419722222
48,1.379833333
49,11.52566667
50,1.691722222
51,0.534388889
52,1.289277778
53,0.765666667
54,0.487055556
55,0.496722222
56,2.677666667
57,1.668
58,0.8285
59,1.654444444
60,0.640333333
61,0.356555556
62,0.344111111
63,12.49333333
64,0.377944444
65,0.579611111
66,0.813555556
67,0.462555556
68,1.219722222
69,0.439444444
70,0.617555556
71,24.94277778
72,1.481888889
73,31.84555556
74,0.660722222
75,39.41838889
76,3.860444444
77,3.608222222
78,1.000444444
79,0.7815
80,0
81,0.817666667
82,0.196055556
83,12.07344444
84,8.934611111
85,0.732777778
86,0.725055556
87,4.157777778
88,1.385166667
89,4.692944444
